Titolo;N°Stagioni;N°Episodi;Genere;Paese;Anno_Pub
White Lines;1;10;Mistero;SPA;2020
Stranger Things;3;24;Sci-Fi;USA;2016
The End of the Fucking World;2;16;Crime;UK;2017
Space Force;1;8;Commedia;USA;2020
Blood & Water;1;6;Dramma;ZA;2020
Sex Education;2;16;Commedia;UK;2019
Vis a vis;4;32;Dramma;SPA;2015
Shameless;10;122;Commedia;USA;2011
Too Hot to Handle;1;9;Reality;UK;2020
La Casa di Carta;4;38;Crime;SPA;2017
Breaking Bad;5;62;Dramma;USA;2008
The Last Dance;1;10;Documentario;USA;2020
Into the Night;1;6;Sci-Fi;BE;2020
Gotham;5;100;Fantasy;USA;2014
Iron fist;2;23;Sci-Fi;USA;2017
Luke Cage;2;26;Azione;USA;2016
